Device,status
,failed
HNP0952Z               device product:LenovoTB-X6C6F,failed
,failed
HNP0952Z               device product:LenovoTB-X6C6F,failed
,failed
,failed
,failed
,failed
,failed
HNP0952Z               device product:LenovoTB-X6C6F,failed
HNP092HT               device product:LenovoTB-X6C6F,failed
,failed
